,Property Address,Measurements,Listing Price
53,"2280 E 38th Avenue

Victoria East
Vancouver",4 bd|2 ba|1790 sf|40 x 141 ft,"$1,650,000"
54,"5887 Adera Street

South Granville
Vancouver",5 bd|7 ba|5056 sf|75 x 125 ft,"$10,888,000"
55,"3292 W 37th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|3420 sf|33 x 130 ft,"$3,499,000"
56,"1227 E 14th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2895 sf|33 x 122 ft,"$1,498,000"
57,"3827 W 15th Avenue

Point Grey
Vancouver",5 bd|4 ba|3403 sf|49 x 122 ft,"$3,575,000"
58,"5512 Wallace Street

Southlands
Vancouver",5 bd|7 ba|5019 sf|73 x 116 ft,"$6,680,000"
59,"554 W 22nd Avenue

Cambie
Vancouver",6 bd|6 ba|3140 sf|49 x 109 ft,"$3,300,000"
60,"4661 Marguerite Street

Shaughnessy
Vancouver",5 bd|6 ba|4679 sf|80 x 160 ft,"$2,388,000"
61,"1238 Balfour Avenue

Shaughnessy
Vancouver",5 bd|8 ba|7377 sf,"$6,180,000"
62,"4573 W 2nd Avenue

Point Grey
Vancouver",5 bd|4 ba|3184 sf|33 x 108 ft,"$5,500,000"
63,"1191 E 51st Avenue

South Vancouver
Vancouver",5 bd|3 ba|2528 sf|34 x 122 ft,"$1,499,000"
64,"517 E 61st Avenue

South Vancouver
Vancouver",6 bd|4 ba|2521 sf|34 x 107 ft,"$2,099,000"
65,"2195 E Pender Street

Hastings
Vancouver",4 bd|4 ba|1867 sf|24 x 122 ft,"$1,648,000"
66,"483 E 10th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2888 sf|47 x 124 ft,"$2,389,000"
67,"5296 Rhodes Street

Collingwood
Vancouver",5 bd|5 ba|3296 sf|33 x 166 ft,"$2,480,000"
68,"4492 NW Marine Drive

Point Grey
Vancouver",8 bd|4 ba|4073 sf,"$2,388,000"
69,"2243 Oxford Street

Hastings
Vancouver",4 bd|2 ba|1740 sf|24 x 122 ft,"$1,249,000"
70,"2212 E 7th Avenue

Grandview East
Vancouver",5 bd|1 ba|1844 sf|33 x 122 ft,"$1,599,000"
71,"3197 Point Grey Road

Kitsilano
Vancouver",5 bd|5 ba|3304 sf|33 x 134 ft,"$14,800,000"
72,"6576 Yew Street

Southwest Marine
Vancouver",7 bd|4 ba|2353 sf|50 x 100 ft,"$2,490,000"
73,"7787 Hudson Street

Marpole
Vancouver",8 bd|6 ba|2346 sf|24 x 122 ft,"$2,150,000"
74,"3242 W 29th Avenue

Mackenzie Heights
Vancouver",5 bd|3 ba|2939 sf|40 x 130 ft,"$2,979,000"
75,"5838 Dumfries Street

Knight
Vancouver",5 bd|4 ba|2758 sf|33 x 122 ft,"$2,188,800"
76,"3339 Collingwood Street

Dunbar
Vancouver",5 bd|6 ba|3750 sf|52 x 72 ft,"$4,188,000"
77,"735 E 38th Avenue

Fraser East
Vancouver",4 bd|3 ba|2146 sf|33 x 122 ft,"$1,499,000"
78,"637 W 18th Avenue

Cambie
Vancouver",5 bd|4 ba|3244 sf|33 x 122 ft,"$2,580,000"
79,"1918 W 44th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|4035 sf|50 x 134 ft,"$3,588,000"
80,"3042 W 33rd Avenue

Mackenzie Heights
Vancouver",5 bd|5 ba|4128 sf|50 x 129 ft,"$3,988,000"
81,"831 W 20th Avenue

Cambie
Vancouver",7 bd|3 ba|3287 sf|33 x 122 ft,"$2,689,000"
82,"6137 Collingwood Place

Southlands
Vancouver",4 bd|3 ba|2846 sf|70 x 144 ft,"$3,199,000"
83,"3643 Prince Albert Street

Fraser East
Vancouver",4 bd|2 ba|1916 sf|30 x 103 ft,"$1,399,000"
84,"4569 Commercial Street

Victoria East
Vancouver",6 bd|4 ba|1978 sf|31 x 105 ft,"$1,598,000"
85,"5930 Culloden Street

Knight
Vancouver",6 bd|4 ba|2552 sf|42 x 118 ft,"$1,299,000"
86,"895 E 58th Avenue

South Vancouver
Vancouver",7 bd|4 ba|2703 sf|116 x 33 ft,"$1,799,000"
87,"6361 Larch Street

Kerrisdale
Vancouver",4 bd|3 ba|1979 sf|47 x 135 ft,"$2,999,000"
88,"2024 Adanac Street

Hastings
Vancouver",3 bd|3 ba|2688 sf|33 x 124 ft,"$1,749,000"
89,"6350 Alma Street

Southlands
Vancouver",3 bd|4 ba|2734 sf|50 x 136 ft,"$3,198,000"
90,"1417 E 21st Avenue

Knight
Vancouver",3 bd|3 ba|2511 sf|33 x 124 ft,"$1,488,000"
91,"4859 Prince Edward Street

Main
Vancouver",3 bd|3 ba|2291 sf|36 x 183 ft,"$2,389,000"
92,"772 E 33rd Avenue

Fraser East
Vancouver",7 bd|7 ba|3120 sf|33 x 105 ft,"$2,288,000"
93,"4385 Locarno Crescent

Point Grey
Vancouver",3 bd|5 ba|3333 sf|66 x 0 ft,"$4,990,000"
94,"1241 E 13th Avenue

Mount Pleasant East
Vancouver",5 bd|4 ba|2405 sf|50 x 122 ft,"$2,129,000"
95,"2280 E 38th Avenue

Victoria East
Vancouver",4 bd|2 ba|1790 sf|40 x 141 ft,"$1,650,000"
96,"5887 Adera Street

South Granville
Vancouver",5 bd|7 ba|5056 sf|75 x 125 ft,"$10,888,000"
97,"3292 W 37th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|3420 sf|33 x 130 ft,"$3,499,000"
98,"1227 E 14th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2895 sf|33 x 122 ft,"$1,498,000"
99,"3827 W 15th Avenue

Point Grey
Vancouver",5 bd|4 ba|3403 sf|49 x 122 ft,"$3,575,000"
100,"5512 Wallace Street

Southlands
Vancouver",5 bd|7 ba|5019 sf|73 x 116 ft,"$6,680,000"
101,"554 W 22nd Avenue

Cambie
Vancouver",6 bd|6 ba|3140 sf|49 x 109 ft,"$3,300,000"
102,"4661 Marguerite Street

Shaughnessy
Vancouver",5 bd|6 ba|4679 sf|80 x 160 ft,"$2,388,000"
103,"1238 Balfour Avenue

Shaughnessy
Vancouver",5 bd|8 ba|7377 sf,"$6,180,000"
104,"4573 W 2nd Avenue

Point Grey
Vancouver",5 bd|4 ba|3184 sf|33 x 108 ft,"$5,500,000"
105,"1191 E 51st Avenue

South Vancouver
Vancouver",5 bd|3 ba|2528 sf|34 x 122 ft,"$1,499,000"
106,"517 E 61st Avenue

South Vancouver
Vancouver",6 bd|4 ba|2521 sf|34 x 107 ft,"$2,099,000"
107,"2195 E Pender Street

Hastings
Vancouver",4 bd|4 ba|1867 sf|24 x 122 ft,"$1,648,000"
108,"483 E 10th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2888 sf|47 x 124 ft,"$2,389,000"
109,"5296 Rhodes Street

Collingwood
Vancouver",5 bd|5 ba|3296 sf|33 x 166 ft,"$2,480,000"
110,"4492 NW Marine Drive

Point Grey
Vancouver",8 bd|4 ba|4073 sf,"$2,388,000"
111,"2243 Oxford Street

Hastings
Vancouver",4 bd|2 ba|1740 sf|24 x 122 ft,"$1,249,000"
112,"2212 E 7th Avenue

Grandview East
Vancouver",5 bd|1 ba|1844 sf|33 x 122 ft,"$1,599,000"
113,"3197 Point Grey Road

Kitsilano
Vancouver",5 bd|5 ba|3304 sf|33 x 134 ft,"$14,800,000"
114,"6576 Yew Street

Southwest Marine
Vancouver",7 bd|4 ba|2353 sf|50 x 100 ft,"$2,490,000"
115,"7787 Hudson Street

Marpole
Vancouver",8 bd|6 ba|2346 sf|24 x 122 ft,"$2,150,000"
116,"3242 W 29th Avenue

Mackenzie Heights
Vancouver",5 bd|3 ba|2939 sf|40 x 130 ft,"$2,979,000"
117,"5838 Dumfries Street

Knight
Vancouver",5 bd|4 ba|2758 sf|33 x 122 ft,"$2,188,800"
118,"3339 Collingwood Street

Dunbar
Vancouver",5 bd|6 ba|3750 sf|52 x 72 ft,"$4,188,000"
119,"735 E 38th Avenue

Fraser East
Vancouver",4 bd|3 ba|2146 sf|33 x 122 ft,"$1,499,000"
120,"637 W 18th Avenue

Cambie
Vancouver",5 bd|4 ba|3244 sf|33 x 122 ft,"$2,580,000"
121,"1918 W 44th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|4035 sf|50 x 134 ft,"$3,588,000"
122,"3042 W 33rd Avenue

Mackenzie Heights
Vancouver",5 bd|5 ba|4128 sf|50 x 129 ft,"$3,988,000"
123,"831 W 20th Avenue

Cambie
Vancouver",7 bd|3 ba|3287 sf|33 x 122 ft,"$2,689,000"
124,"5254 Sherbrooke Street

Knight
Vancouver",5 bd|4 ba|1935 sf|33 x 98 ft,"$1,698,000"
125,"1950 Renfrew Street

Renfrew
Vancouver",9 bd|8 ba|3484 sf|33 x 121 ft,"$2,398,000"
126,"3437 Anzio Drive

Renfrew Heights
Vancouver",3 bd|1 ba|1640 sf|41 x 110 ft,"$1,450,000"
127,"4661 Marguerite Street

Shaughnessy
Vancouver",5 bd|6 ba|4679 sf|80 x 160 ft,"$6,180,000"
128,"4291 W 9th Avenue

Point Grey
Vancouver",5 bd|4 ba|3363 sf|54 x 112 ft,"$4,995,000"
129,"1027 Keefer Street

Strathcona
Vancouver",4 bd|3 ba|1860 sf|25 x 86 ft,"$1,699,000"
130,"207 W 19th Avenue

Cambie
Vancouver",4 bd|4 ba|3118 sf|36 x 122 ft,"$2,689,000"
131,"3240 SW Marine Drive

Southlands
Vancouver",6 bd|3 ba|3500 sf|66 x 115 ft,"$2,799,000"
132,"1888 W 3rd Avenue

Kitsilano
Vancouver",4 bd|5 ba|2300 sf,"$2,399,000"
133,"1695 E 36th Avenue

Knight
Vancouver",5 bd|3 ba|2787 sf|33 x 114 ft,"$1,699,000"
134,"2188 Acadia Road

University (Ubc)
Vancouver",5 bd|2 ba|3534 sf|222 x 150 ft,"$4,188,000"
135,"3668 Napier Street

Renfrew
Vancouver",4 bd|2 ba|1508 sf|33 x 107 ft,"$1,180,000"
136,"1431 E 19th Avenue

Knight
Vancouver",4 bd|2 ba|2016 sf|33 x 122 ft,"$1,498,000"
137,"4019 Dunbar Street

Dunbar
Vancouver",4 bd|2 ba|1734 sf|33 x 110 ft,"$1,998,000"
138,"852 W 18th Avenue

Cambie
Vancouver",5 bd|5 ba|2798 sf|33 x 122 ft,"$3,498,800"
139,"3172 W 26th Avenue

Mackenzie Heights
Vancouver",5 bd|4 ba|2780 sf|33 x 130 ft,"$2,298,000"
140,"1329 Cotton Drive

Grandview East
Vancouver",4 bd|2 ba|1926 sf|42 x 66 ft,"$1,338,000"
141,"3414 W 44th Avenue

Southlands
Vancouver",4 bd|3 ba|13604 sf|100 x 130 ft,"$5,400,000"
142,"408 E 34th Avenue

Fraser East
Vancouver",4 bd|4 ba|2691 sf|35 x 112 ft,"$2,548,000"
143,"2755 W 38th Avenue

Kerrisdale
Vancouver",6 bd|2 ba|2816 sf|44 x 132 ft,"$2,580,000"
144,"782 W 22nd Avenue

Cambie
Vancouver",5 bd|6 ba|3600 sf|43 x 122 ft,"$4,650,000"
145,"7868 Cartier Street

Marpole
Vancouver",5 bd|5 ba|2434 sf|33 x 122 ft,"$2,480,000"
146,"6137 Collingwood Place

Southlands
Vancouver",4 bd|3 ba|2846 sf|70 x 144 ft,"$3,199,000"
147,"3643 Prince Albert Street

Fraser East
Vancouver",4 bd|2 ba|1916 sf|30 x 103 ft,"$1,399,000"
148,"4569 Commercial Street

Victoria East
Vancouver",6 bd|4 ba|1978 sf|31 x 105 ft,"$1,598,000"
149,"5930 Culloden Street

Knight
Vancouver",6 bd|4 ba|2552 sf|42 x 118 ft,"$1,299,000"
150,"895 E 58th Avenue

South Vancouver
Vancouver",7 bd|4 ba|2703 sf|116 x 33 ft,"$1,799,000"
151,"6361 Larch Street

Kerrisdale
Vancouver",4 bd|3 ba|1979 sf|47 x 135 ft,"$2,999,000"
152,"2024 Adanac Street

Hastings
Vancouver",3 bd|3 ba|2688 sf|33 x 124 ft,"$1,749,000"
153,"6350 Alma Street

Southlands
Vancouver",3 bd|4 ba|2734 sf|50 x 136 ft,"$3,198,000"
154,"1417 E 21st Avenue

Knight
Vancouver",3 bd|3 ba|2511 sf|33 x 124 ft,"$1,488,000"
155,"4859 Prince Edward Street

Main
Vancouver",3 bd|3 ba|2291 sf|36 x 183 ft,"$2,389,000"
156,"772 E 33rd Avenue

Fraser East
Vancouver",7 bd|7 ba|3120 sf|33 x 105 ft,"$2,288,000"
157,"4385 Locarno Crescent

Point Grey
Vancouver",3 bd|5 ba|3333 sf|66 x 0 ft,"$4,990,000"
158,"1241 E 13th Avenue

Mount Pleasant East
Vancouver",5 bd|4 ba|2405 sf|50 x 122 ft,"$2,129,000"
159,"2280 E 38th Avenue

Victoria East
Vancouver",4 bd|2 ba|1790 sf|40 x 141 ft,"$1,650,000"
160,"5887 Adera Street

South Granville
Vancouver",5 bd|7 ba|5056 sf|75 x 125 ft,"$10,888,000"
161,"3292 W 37th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|3420 sf|33 x 130 ft,"$3,499,000"
162,"1227 E 14th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2895 sf|33 x 122 ft,"$1,498,000"
163,"3827 W 15th Avenue

Point Grey
Vancouver",5 bd|4 ba|3403 sf|49 x 122 ft,"$3,575,000"
164,"5512 Wallace Street

Southlands
Vancouver",5 bd|7 ba|5019 sf|73 x 116 ft,"$6,680,000"
165,"554 W 22nd Avenue

Cambie
Vancouver",6 bd|6 ba|3140 sf|49 x 109 ft,"$3,300,000"
166,"4661 Marguerite Street

Shaughnessy
Vancouver",5 bd|6 ba|4679 sf|80 x 160 ft,"$2,388,000"
167,"1238 Balfour Avenue

Shaughnessy
Vancouver",5 bd|8 ba|7377 sf,"$6,180,000"
168,"4573 W 2nd Avenue

Point Grey
Vancouver",5 bd|4 ba|3184 sf|33 x 108 ft,"$5,500,000"
169,"1191 E 51st Avenue

South Vancouver
Vancouver",5 bd|3 ba|2528 sf|34 x 122 ft,"$1,499,000"
170,"517 E 61st Avenue

South Vancouver
Vancouver",6 bd|4 ba|2521 sf|34 x 107 ft,"$2,099,000"
171,"2195 E Pender Street

Hastings
Vancouver",4 bd|4 ba|1867 sf|24 x 122 ft,"$1,648,000"
172,"483 E 10th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2888 sf|47 x 124 ft,"$2,389,000"
173,"5296 Rhodes Street

Collingwood
Vancouver",5 bd|5 ba|3296 sf|33 x 166 ft,"$2,480,000"
174,"4492 NW Marine Drive

Point Grey
Vancouver",8 bd|4 ba|4073 sf,"$2,388,000"
175,"2243 Oxford Street

Hastings
Vancouver",4 bd|2 ba|1740 sf|24 x 122 ft,"$1,249,000"
176,"2212 E 7th Avenue

Grandview East
Vancouver",5 bd|1 ba|1844 sf|33 x 122 ft,"$1,599,000"
177,"3197 Point Grey Road

Kitsilano
Vancouver",5 bd|5 ba|3304 sf|33 x 134 ft,"$14,800,000"
178,"6576 Yew Street

Southwest Marine
Vancouver",7 bd|4 ba|2353 sf|50 x 100 ft,"$2,490,000"
179,"7787 Hudson Street

Marpole
Vancouver",8 bd|6 ba|2346 sf|24 x 122 ft,"$2,150,000"
180,"3242 W 29th Avenue

Mackenzie Heights
Vancouver",5 bd|3 ba|2939 sf|40 x 130 ft,"$2,979,000"
181,"5838 Dumfries Street

Knight
Vancouver",5 bd|4 ba|2758 sf|33 x 122 ft,"$2,188,800"
182,"3339 Collingwood Street

Dunbar
Vancouver",5 bd|6 ba|3750 sf|52 x 72 ft,"$4,188,000"
183,"735 E 38th Avenue

Fraser East
Vancouver",4 bd|3 ba|2146 sf|33 x 122 ft,"$1,499,000"
184,"637 W 18th Avenue

Cambie
Vancouver",5 bd|4 ba|3244 sf|33 x 122 ft,"$2,580,000"
185,"1918 W 44th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|4035 sf|50 x 134 ft,"$3,588,000"
