,Property Address,Measurements,Listing Price
6132,"4176 Crown Crescent

Point Grey
Vancouver",5 bd|2 ba|3373 sf|85 x 0 ft,"$14,800,000"
6133,"1438 W 32nd Avenue

Shaughnessy
Vancouver",7 bd|10 ba|10663 sf|101 x 181 ft,"$4,680,000"
6134,"3532 Knight Street

Knight
Vancouver",4 bd|2 ba|1600 sf|33 x 105 ft,"$1,350,000"
6135,"1121 Nanton Avenue

Shaughnessy
Vancouver",6 bd|7 ba|4396 sf|50 x 124 ft,"$5,680,000"
6136,"3336 W 35th Avenue

Dunbar
Vancouver",4 bd|3 ba|2673 sf|50 x 129 ft,"$3,088,000"
6137,"4176 Crown Crescent

Point Grey
Vancouver",5 bd|2 ba|3373 sf|85 x 0 ft,"$5,500,000"
6138,"197 W 26th Avenue

Cambie
Vancouver",2 bd|0 ba|2000 sf|46 x 155 ft,"$4,399,000"
6139,"1536 W 63rd Avenue

South Granville
Vancouver",5 bd|4 ba|2314 sf|33 x 116 ft,"$2,388,000"
6140,"1278 W 39th Avenue

Shaughnessy
Vancouver",7 bd|8 ba|5706 sf|68 x 123 ft,"$7,890,000"
6141,"5566 Trafalgar Street

Kerrisdale
Vancouver",5 bd|6 ba|4825 sf|50 x 162 ft,"$4,990,000"
6142,"2037 Allison Road

University (Ubc)
Vancouver",4 bd|2 ba|3247 sf|80 x 172 ft,"$6,180,000"
6143,"989 W 64th Avenue

Marpole
Vancouver",4 bd|4 ba|2485 sf|35 x 118 ft,"$2,188,000"
6144,"3998 Fleming Street

Knight
Vancouver",5 bd|2 ba|1650 sf|31 x 105 ft,"$1,280,000"
6145,"4519 W 12th Avenue

Point Grey
Vancouver",5 bd|8 ba|4780 sf|49 x 122 ft,"$6,880,000"
6146,"3412 E 27th Avenue

Renfrew Heights
Vancouver",8 bd|7 ba|3347 sf|33 x 120 ft,"$2,188,000"
6147,"834 W 18th Avenue

Cambie
Vancouver",5 bd|3 ba|2394 sf|33 x 122 ft,"$2,040,000"
6148,"2134 W 53rd Avenue

Southwest Marine
Vancouver",4 bd|3 ba|2494 sf|59 x 123 ft,"$3,680,000"
6149,"1836 Wesbrook Crescent

University (Ubc)
Vancouver",4 bd|2 ba|3311 sf|80 x 200 ft,"$3,899,999"
6150,"5708 Alma Street

Southlands
Vancouver",6 bd|3 ba|2536 sf,"$2,399,000"
6151,"6935 Doman Street

Killarney
Vancouver",4 bd|2 ba|1820 sf|33 x 114 ft,"$1,485,000"
6152,"4307 W 13th Avenue

Point Grey
Vancouver",5 bd|5 ba|2820 sf|33 x 122 ft,"$4,380,000"
6153,"2775 Euclid Avenue

Collingwood
Vancouver",6 bd|3 ba|2200 sf|31 x 154 ft,"$1,699,000"
6154,"7696 Elliott Street

Fraserview East
Vancouver",4 bd|6 ba|2575 sf|76 x 110 ft,"$2,389,000"
6155,"483 E 10th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2888 sf|47 x 124 ft,"$5,500,000"
6156,"2588 Courtenay Street

Point Grey
Vancouver",10 bd|5 ba|3800 sf,"$4,588,000"
6157,"1890 SW Marine Drive

Southlands
Vancouver",3 bd|4 ba|4349 sf|196 x 275 ft,"$16,898,888"
6158,"2691 Horley Street

Collingwood
Vancouver",4 bd|2 ba|2000 sf|49 x 106 ft,"$2,199,000"
6159,"6491 Mackenzie Place

Kerrisdale
Vancouver",5 bd|3 ba|3180 sf|84 x 143 ft,"$3,680,000"
6160,"2103 Columbia Street

False Creek
Vancouver",3 bd|1 ba|1926 sf|32 x 66 ft,"$2,199,000"
6161,"3282 W 34th Avenue

Mackenzie Heights
Vancouver",7 bd|3 ba|3062 sf|60 x 130 ft,"$3,899,000"
6162,"4588 NW Marine Drive

Point Grey
Vancouver",6 bd|7 ba|5979 sf|60 x 168 ft,"$11,998,000"
6163,"737 E 54th Avenue

South Vancouver
Vancouver",5 bd|3 ba|2940 sf|37 x 204 ft,"$1,949,000"
6164,"2610 Marine Crescent

Southwest Marine
Vancouver",4 bd|7 ba|8642 sf|196 x 183 ft,"$9,980,000"
6165,"1678 Somerset Crescent

Shaughnessy
Vancouver",4 bd|5 ba|5380 sf|174 x 95 ft,"$12,880,000"
6166,"5463 Joyce Street

Collingwood
Vancouver",5 bd|2 ba|2066 sf|33 x 100 ft,"$2,600,000"
6167,"1409 W 38th Avenue

Shaughnessy
Vancouver",6 bd|7 ba|5729 sf|70 x 127 ft,"$5,990,000"
6168,"1657 W King Edward Avenue

Shaughnessy
Vancouver",8 bd|6 ba|5390 sf|82 x 200 ft,"$5,508,000"
6169,"1212 Balfour Avenue

Shaughnessy
Vancouver",5 bd|4 ba|6850 sf|113 x 116 ft,"$7,890,000"
6170,"1416 Acadia Road

University (Ubc)
Vancouver",6 bd|6 ba|7070 sf|200 x 0 ft,"$13,980,000"
6171,"1857 W 35th Avenue

Quilchena
Vancouver",6 bd|7 ba|4803 sf|58 x 120 ft,"$6,260,000"
6172,"1345 E 41st Avenue

Knight
Vancouver",4 bd|2 ba|1616 sf|33 x 97 ft,"$2,388,800"
6173,"691 E 29th Avenue

Fraser East
Vancouver",3 bd|2 ba|2408 sf|38 x 113 ft,"$2,488,000"
6174,"4987 Hoy Street

Collingwood
Vancouver",7 bd|2 ba|1886 sf|33 x 115 ft,"$1,299,000"
6175,"574 Nanaimo Street

Renfrew
Vancouver",4 bd|3 ba|3120 sf|33 x 126 ft,"$2,400,000"
6176,"1238 Balfour Avenue

Shaughnessy
Vancouver",5 bd|8 ba|7377 sf,"$1,698,000"
6177,"2108 E 28th Avenue

Victoria East
Vancouver",6 bd|6 ba|2598 sf|28 x 122 ft,"$9,980,000"
6178,"4810 Osler Street

Shaughnessy
Vancouver",4 bd|6 ba|5174 sf|64 x 120 ft,"$6,990,000"
6179,"1339 E 41st Avenue

Knight
Vancouver",7 bd|3 ba|1447 sf|33 x 97 ft,"$2,388,800"
6180,"1539 W King Edward Avenue

Shaughnessy
Vancouver",6 bd|7 ba|6102 sf|70 x 200 ft,"$9,980,000"
6181,"1333 E 41st Avenue

Knight
Vancouver",7 bd|2 ba|1341 sf|33 x 97 ft,"$2,388,800"
6182,"4788 Belmont Avenue

Point Grey
Vancouver",7 bd|8 ba|12000 sf,"$32,800,000"
6183,"2760 E 38th Avenue

Collingwood
Vancouver",4 bd|2 ba|1881 sf|36 x 120 ft,"$1,589,000"
6184,"3838 W 15th Avenue

Point Grey
Vancouver",6 bd|6 ba|2787 sf|33 x 122 ft,"$3,680,000"
6185,"2991 SW Marine Drive

Kerrisdale
Vancouver",5 bd|3 ba|4227 sf|99 x 160 ft,"$3,499,000"
6186,"734 E 41st Avenue

Fraser East
Vancouver",7 bd|3 ba|1986 sf|30 x 95 ft,"$2,880,000"
6187,"5277 Wales Street

Collingwood
Vancouver",4 bd|3 ba|1980 sf,"$3,300,000"
6188,"1515 Laurier Avenue

Shaughnessy
Vancouver",7 bd|6 ba|6362 sf|110 x 120 ft,"$5,398,000"
6189,"4255 Highbury Street

Dunbar
Vancouver",5 bd|4 ba|3758 sf|130 x 49 ft,"$3,788,000"
6190,"4778 Fleming Street

Victoria East
Vancouver",5 bd|3 ba|2415 sf,"$1,599,000"
6191,"6061 Battison Street

Killarney
Vancouver",3 bd|2 ba|2107 sf|33 x 102 ft,"$1,345,000"
6192,"1195 E 57th Avenue

South Vancouver
Vancouver",4 bd|2 ba|1828 sf|33 x 105 ft,"$1,269,900"
6193,"4584 Langara Avenue

Point Grey
Vancouver",3 bd|4 ba|2496 sf|33 x 110 ft,"$4,690,000"
6194,"50 E 12th Avenue

Mount Pleasant East
Vancouver",4 bd|3 ba|2236 sf,"$2,388,000"
6195,"2833 Wall Street

Hastings Sunrise
Vancouver",2 bd|3 ba|2008 sf|34 x 93 ft,"$1,530,000"
6196,"5925 Larch Street

Kerrisdale
Vancouver",8 bd|6 ba|4381 sf|57 x 125 ft,"$3,988,000"
6197,"1806 SW Marine Drive

Southlands
Vancouver",5 bd|5 ba|4190 sf|101 x 315 ft,"$3,980,000"
6198,"2108 E 28th Avenue

Victoria East
Vancouver",6 bd|6 ba|2598 sf|28 x 122 ft,"$1,599,000"
6199,"2335 W 14 Avenue

Kitsilano
Vancouver",7 bd|7 ba|4372 sf|50 x 125 ft,"$6,180,000"
6200,"1625 Matthews Avenue

Shaughnessy
Vancouver",5 bd|7 ba|8449 sf|76 x 229 ft,"$9,996,800"
6201,"3548 W 12th Avenue

Kitsilano
Vancouver",3 bd|2 ba|2198 sf|33 x 122 ft,"$2,198,000"
6202,"227 W 19th Avenue

Cambie
Vancouver",6 bd|4 ba|2659 sf|33 x 122 ft,"$2,249,900"
6203,"3655 Eton Street

Hastings Sunrise
Vancouver",6 bd|4 ba|2220 sf|33 x 122 ft,"$1,388,888"
6204,"3848 W 17th Avenue

Dunbar
Vancouver",4 bd|5 ba|2456 sf|33 x 124 ft,"$3,588,000"
6205,"2843 E 20th Avenue

Renfrew Heights
Vancouver",8 bd|3 ba|2522 sf|33 x 109 ft,"$1,538,000"
6206,"11 E King Edward Avenue

Main
Vancouver",4 bd|3 ba|2049 sf|100 x 33 ft,"$1,799,000"
6207,"6174 Bruce Street

Killarney
Vancouver",5 bd|4 ba|1857 sf|33 x 93 ft,"$1,598,000"
6208,"1688 W 59th Avenue

South Granville
Vancouver",5 bd|6 ba|3901 sf|50 x 110 ft,"$4,288,000"
6209,"2250 Lillooet Street

Renfrew
Vancouver",7 bd|4 ba|3263 sf|33 x 122 ft,"$1,680,000"
6210,"4775 Blenheim Street

Dunbar
Vancouver",4 bd|5 ba|3708 sf|47 x 113 ft,"$5,380,000"
6211,"1455 W 46th Avenue

South Granville
Vancouver",6 bd|8 ba|4607 sf,"$5,680,000"
6212,"741 E 62nd Avenue

South Vancouver
Vancouver",6 bd|4 ba|2087 sf|33 x 122 ft,"$1,499,000"
6213,"2375 E 4th Avenue

Grandview East
Vancouver",5 bd|2 ba|1843 sf|33 x 122 ft,"$1,508,000"
6214,"4626 W 9th Avenue

Point Grey
Vancouver",6 bd|5 ba|3434 sf|50 x 115 ft,"$3,395,000"
6215,"2403 Cambridge Street

Hastings Sunrise
Vancouver",4 bd|4 ba|2887 sf|33 x 121 ft,"$1,728,000"
6216,"175 E 21st Avenue

Main
Vancouver",6 bd|2 ba|2026 sf|32 x 122 ft,"$2,088,000"
6217,"512 Hawks Avenue

Strathcona
Vancouver",3 bd|3 ba|1487 sf,"$1,299,000"
6218,"3678 W 19th Avenue

Dunbar
Vancouver",5 bd|5 ba|2877 sf|33 x 122 ft,"$3,980,000"
6219,"2541 E 51st Avenue

Killarney
Vancouver",6 bd|5 ba|2670 sf|32 x 11 ft,"$1,998,880"
6220,"4661 Marguerite Street

Shaughnessy
Vancouver",5 bd|6 ba|4679 sf|80 x 160 ft,"$5,500,000"
6221,"1238 Balfour Avenue

Shaughnessy
Vancouver",5 bd|8 ba|7377 sf,"$28,880,000"
6222,"1430 E 17th Avenue

Knight
Vancouver",5 bd|3 ba|1669 sf|51 x 0 ft,"$1,698,888"
6223,"5399 Wales Street

Collingwood
Vancouver",5 bd|3 ba|2634 sf|44 x 119 ft,"$2,995,000"
6224,"1486 E 60th Avenue

Fraserview East
Vancouver",6 bd|8 ba|4161 sf|44 x 112 ft,"$2,888,000"
6225,"429 E Pender Street

Strathcona
Vancouver",7 bd|3 ba|2710 sf|25 x 122 ft,"$1,388,000"
6226,"2234 Mannering Avenue

Victoria East
Vancouver",4 bd|3 ba|2252 sf|33 x 115 ft,"$1,299,000"
6227,"2351 W 37th Avenue

Quilchena
Vancouver",4 bd|4 ba|3170 sf|60 x 137 ft,"$3,588,000"
6228,"4925 Queensland Road

University (Ubc)
Vancouver",5 bd|2 ba|2343 sf,"$4,080,000"
6229,"39 E 19th Avenue

Main
Vancouver",6 bd|4 ba|2331 sf|33 x 122 ft,"$2,160,000"
6230,"6976 Churchill Street

South Granville
Vancouver",4 bd|3 ba|3689 sf|66 x 173 ft,"$4,888,000"
6231,"2789 W 14th Avenue

Kitsilano
Vancouver",5 bd|6 ba|2650 sf|29 x 122 ft,"$3,180,000"
6232,"2116 Burquitlam Drive

Fraserview East
Vancouver",6 bd|3 ba|4148 sf|38 x 166 ft,"$2,098,888"
6233,"5854 Eagle Island

West End
Vancouver",4 bd|4 ba|4300 sf,"$3,100,000"
6234,"5605 Alma Street

Southlands
Vancouver",5 bd|3 ba|3792 sf|75 x 147 ft,"$3,588,000"
6235,"4028 W 11th Avenue

Point Grey
Vancouver",5 bd|6 ba|3653 sf|45 x 122 ft,"$3,990,000"
6236,"3908 W 31st Avenue

Dunbar
Vancouver",5 bd|6 ba|3401 sf|33 x 132 ft,"$4,580,000"
6237,"3188 E 43rd Avenue

Killarney
Vancouver",6 bd|6 ba|4506 sf|46 x 132 ft,"$1,998,800"
6238,"2970 W 20th Avenue

Arbutus
Vancouver",5 bd|4 ba|2695 sf|33 x 122 ft,"$2,659,000"
6239,"3214 E 44th Avenue

Killarney
Vancouver",2 bd|1 ba|755 sf|31 x 134 ft,"$1,160,000"
6240,"3624 W 3rd Avenue

Kitsilano
Vancouver",5 bd|4 ba|3369 sf|33 x 120 ft,"$2,459,000"
6241,"4687 W 15th Avenue

Point Grey
Vancouver",6 bd|3 ba|2477 sf|33 x 122 ft,"$1,888,888"
6242,"505 N Kootenay Street

Hastings Sunrise
Vancouver",3 bd|2 ba|2563 sf|122 x 64 ft,"$6,180,000"
6243,"3555 W King Edward Avenue

Dunbar
Vancouver",6 bd|3 ba|2725 sf|47 x 122 ft,"$14,800,000"
6244,"3106 W 10th Avenue

Kitsilano
Vancouver",7 bd|7 ba|3607 sf|33 x 122 ft,"$3,660,000"
6245,"7283 Rupert Street

Fraserview East
Vancouver",5 bd|3 ba|2935 sf|71 x 105 ft,"$1,599,900"
6246,"3688 W 49th Avenue

Southlands
Vancouver",4 bd|3 ba|2648 sf|66 x 136 ft,"$2,480,000"
6247,"6311 Larch Street

Kerrisdale
Vancouver",5 bd|7 ba|4517 sf|66 x 135 ft,"$7,188,000"
6248,"3297 Matapan Crescent

Renfrew Heights
Vancouver",5 bd|3 ba|2832 sf|43 x 110 ft,"$1,620,000"
6249,"4375 Sidney Street

Victoria East
Vancouver",8 bd|7 ba|3007 sf|27 x 127 ft,"$1,950,000"
6250,"756 W 26th Avenue

Cambie
Vancouver",5 bd|3 ba|2850 sf|50 x 125 ft,"$3,275,000"
6251,"3438 Worthington Drive

Renfrew Heights
Vancouver",5 bd|3 ba|2712 sf|41 x 110 ft,"$1,700,000"
6252,"2547 Woodland Drive

Grandview East
Vancouver",5 bd|3 ba|2243 sf|30 x 66 ft,"$2,288,800"
6253,"4402 W 9th Avenue

Point Grey
Vancouver",6 bd|5 ba|2700 sf|33 x 115 ft,"$3,890,000"
6254,"1926 W 42nd Avenue

Kerrisdale
Vancouver",3 bd|1 ba|2297 sf|33 x 118 ft,"$2,290,000"
6255,"5933 Joyce Street

Killarney
Vancouver",5 bd|3 ba|2480 sf|46 x 132 ft,"$1,599,800"
6256,"5516 Lanark Street

Knight
Vancouver",8 bd|7 ba|2826 sf|33 x 121 ft,"$2,298,000"
6257,"1861 E 35th Avenue

Victoria East
Vancouver",4 bd|3 ba|2622 sf|50 x 128 ft,"$1,788,000"
6258,"2547 Mcgill Street

Hastings Sunrise
Vancouver",6 bd|3 ba|2557 sf|33 x 124 ft,"$1,198,000"
6259,"3955 W Broadway

Point Grey
Vancouver",6 bd|6 ba|4963 sf|75 x 109 ft,"$7,980,000"
6260,"950 Nanaimo Street

Renfrew
Vancouver",6 bd|4 ba|2428 sf|33 x 126 ft,"$1,999,800"
6261,"735 E 26th Avenue

Fraser East
Vancouver",4 bd|2 ba|1969 sf|33 x 145 ft,"$3,100,000"
6262,"657 E Cordova Street

Strathcona
Vancouver",5 bd|4 ba|2518 sf|25 x 122 ft,"$1,699,000"
6263,"1143 Semlin Drive

Grandview East
Vancouver",4 bd|2 ba|1859 sf|25 x 100 ft,"$1,698,000"
6264,"2755 W 38th Avenue

Kerrisdale
Vancouver",6 bd|2 ba|2816 sf|44 x 132 ft,"$4,680,000"
6265,"3555 W King Edward Avenue

Dunbar
Vancouver",6 bd|3 ba|2725 sf|47 x 122 ft,"$1,645,000"
6266,"5162 Elgin Street

Knight
Vancouver",6 bd|4 ba|3063 sf|49 x 98 ft,"$1,499,000"
6267,"40 W 20th Avenue

Cambie
Vancouver",4 bd|4 ba|2583 sf|33 x 115 ft,"$3,389,000"
6268,"2447 Adanac Street

Renfrew
Vancouver",3 bd|2 ba|1516 sf|34 x 108 ft,"$1,199,900"
6269,"6796 Fleming Street

Knight
Vancouver",7 bd|5 ba|3321 sf|41 x 122 ft,"$2,100,000"
6270,"4011 W 38th Avenue

Southlands
Vancouver",5 bd|6 ba|4740 sf|50 x 138 ft,"$6,180,000"
6271,"3011 W 27th Avenue

Mackenzie Heights
Vancouver",4 bd|5 ba|3945 sf|49 x 129 ft,"$5,780,000"
6272,"1585 E 43rd Avenue

Knight
Vancouver",5 bd|5 ba|3138 sf|33 x 124 ft,"$1,880,000"
6273,"2555 W 14th Avenue

Kitsilano
Vancouver",6 bd|5 ba|3681 sf|50 x 125 ft,"$2,998,998"
6274,"2211 W 47 Avenue

Kerrisdale
Vancouver",4 bd|5 ba|3390 sf|36 x 120 ft,"$4,480,000"
6275,"1388 W 49th Avenue

South Granville
Vancouver",6 bd|7 ba|4683 sf|62 x 152 ft,"$3,690,000"
6276,"6387 Churchill Street

South Granville
Vancouver",4 bd|6 ba|3956 sf|72 x 173 ft,"$7,500,000"
6277,"2182 E 13th Avenue

Grandview East
Vancouver",3 bd|2 ba|1600 sf|33 x 122 ft,"$1,599,000"
6278,"86 W 27th Avenue

Cambie
Vancouver",6 bd|5 ba|2645 sf|40 x 89 ft,"$3,390,000"
6279,"2876 E Broadway

Renfrew Heights
Vancouver",4 bd|2 ba|2214 sf|33 x 144 ft,"$2,888,000"
6280,"4941 Prince Albert Street

Fraser East
Vancouver",4 bd|2 ba|1827 sf|31 x 110 ft,"$1,798,000"
6281,"2435 Triumph Street

Hastings Sunrise
Vancouver",4 bd|2 ba|2446 sf|33 x 122 ft,"$1,398,800"
6282,"1540 Wesbrook Crescent

University (Ubc)
Vancouver",3 bd|2 ba|2193 sf|102 x 197 ft,"$13,580,000"
6283,"3226 E 26th Avenue

Renfrew Heights
Vancouver",4 bd|3 ba|2234 sf|33 x 110 ft,"$1,499,000"
6284,"3663 Eton Street

Hastings Sunrise
Vancouver",4 bd|3 ba|2754 sf|33 x 122 ft,"$1,668,000"
6285,"4453 W 14th Avenue

Point Grey
Vancouver",5 bd|6 ba|2817 sf|33 x 122 ft,"$3,980,000"
6286,"1238 Balfour Avenue

Shaughnessy
Vancouver",5 bd|8 ba|7377 sf,"$9,980,000"
6287,"5254 Sherbrooke Street

Knight
Vancouver",5 bd|4 ba|1935 sf|33 x 98 ft,"$3,588,000"
6288,"6119 Main Street

Main
Vancouver",6 bd|4 ba|2062 sf|33 x 101 ft,"$1,989,000"
6289,"3575 West 26th Avenue

Dunbar
Vancouver",6 bd|5 ba|3574 sf|50 x 130 ft,"$3,088,000"
6290,"2015 W 44th Avenue

Kerrisdale
Vancouver",4 bd|2 ba|2350 sf|60 x 119 ft,"$3,029,000"
6291,"165 W 21st Avenue

Cambie
Vancouver",6 bd|5 ba|3379 sf|33 x 115 ft,"$3,588,000"
6292,"894 W 19th Avenue

Cambie
Vancouver",3 bd|4 ba|2921 sf|33 x 122 ft,"$3,490,000"
6293,"1329 Cypress Street

Kitsilano
Vancouver",4 bd|2 ba|1400 sf,"$3,498,000"
6294,"2954 Charles Street

Renfrew
Vancouver",5 bd|2 ba|2499 sf|33 x 127 ft,"$1,699,000"
6295,"936 W 17th Avenue

Cambie
Vancouver",4 bd|2 ba|1666 sf|33 x 122 ft,"$2,300,000"
6296,"4628 W 15th Avenue

Point Grey
Vancouver",6 bd|6 ba|2919 sf|33 x 122 ft,"$3,388,000"
6297,"7205 Duff Street

Fraserview East
Vancouver",7 bd|6 ba|2696 sf|33 x 112 ft,"$1,890,000"
6298,"815 W 23rd Avenue

Cambie
Vancouver",7 bd|5 ba|3448 sf|42 x 122 ft,"$3,288,000"
6299,"4608 Joyce Street

Collingwood
Vancouver",3 bd|2 ba|1872 sf,"$1,480,000"
6300,"2541 Parker Street

Renfrew
Vancouver",4 bd|3 ba|2100 sf|33 x 108 ft,"$1,250,000"
6301,"1735 E 15th Avenue

Grandview East
Vancouver",5 bd|3 ba|2749 sf|33 x 122 ft,"$1,599,000"
6302,"7316 Culloden Street

South Vancouver
Vancouver",6 bd|5 ba|2401 sf|41 x 105 ft,"$1,449,000"
6303,"3161 E Georgia Street

Renfrew
Vancouver",5 bd|3 ba|1782 sf|33 x 110 ft,"$1,338,000"
6304,"3651 W 26th Avenue

Dunbar
Vancouver",6 bd|3 ba|3530 sf|50 x 128 ft,"$3,388,000"
6305,"2027 E 44th Avenue

Killarney
Vancouver",6 bd|2 ba|1800 sf|33 x 118 ft,"$1,299,000"
6306,"3636 Trinity Street

Hastings Sunrise
Vancouver",3 bd|3 ba|2652 sf|50 x 122 ft,"$1,695,000"
6307,"7509 Oak Street

South Granville
Vancouver",5 bd|4 ba|2249 sf|33 x 115 ft,"$2,898,000"
6308,"4176 Crown Crescent

Point Grey
Vancouver",5 bd|2 ba|3373 sf|85 x 0 ft,"$5,500,000"
6309,"2335 W 14 Avenue

Kitsilano
Vancouver",7 bd|7 ba|4372 sf|50 x 125 ft,"$28,880,000"
6310,"4663 W 11th Avenue

Point Grey
Vancouver",4 bd|4 ba|2413 sf|33 x 122 ft,"$2,498,000"
6311,"6989 Arbutus Diversion

Southwest Marine
Vancouver",5 bd|5 ba|3323 sf,"$2,800,000"
6312,"7935 Hudson Street

Marpole
Vancouver",4 bd|2 ba|2096 sf|33 x 121 ft,"$1,899,000"
6313,"1963 W 1st Avenue

Kitsilano
Vancouver",6 bd|4 ba|2619 sf,"$3,498,000"
6314,"2796 W 21st Avenue

Arbutus
Vancouver",5 bd|3 ba|1649 sf|40 x 122 ft,"$2,599,000"
6315,"2612 Kitchener Street

Renfrew
Vancouver",5 bd|3 ba|2596 sf|33 x 127 ft,"$2,189,000"
6316,"1546 E 3rd Avenue

Grandview East
Vancouver",3 bd|1 ba|1466 sf|25 x 127 ft,"$1,648,000"
6317,"1540 E 3rd Avenue

Grandview East
Vancouver",7 bd|2 ba|1885 sf|25 x 127 ft,"$1,648,000"
6318,"516 E 49th Avenue

South Vancouver
Vancouver",6 bd|4 ba|2460 sf|33 x 125 ft,"$1,768,000"
6319,"4025 W 38th Avenue

Southlands
Vancouver",6 bd|6 ba|4128 sf|50 x 138 ft,"$5,988,000"
6320,"66 E 56th Avenue

South Vancouver
Vancouver",9 bd|6 ba|3143 sf|33 x 110 ft,"$2,458,000"
6321,"1379 W 46th Avenue

South Granville
Vancouver",5 bd|6 ba|4757 sf|62 x 122 ft,"$5,980,000"
6322,"6006 Elm Street

Kerrisdale
Vancouver",6 bd|5 ba|3471 sf|46 x 125 ft,"$3,980,000"
6323,"2187 Franklin Street

Hastings
Vancouver",5 bd|3 ba|2252 sf|33 x 99 ft,"$1,590,000"
6324,"3588 Tanner Street

Collingwood
Vancouver",6 bd|4 ba|2139 sf|33 x 112 ft,"$1,639,000"
6325,"1963 W 1st Avenue

Kitsilano
Vancouver",6 bd|4 ba|2619 sf|25 x 120 ft,"$3,498,000"
6326,"4067 W 33rd Avenue

Dunbar
Vancouver",5 bd|4 ba|3043 sf|33 x 131 ft,"$3,850,000"
6327,"3888 W 50th Avenue

Southlands
Vancouver",4 bd|3 ba|2156 sf|57 x 137 ft,"$2,380,000"
6328,"5611 Elm Street

Kerrisdale
Vancouver",5 bd|4 ba|3266 sf,"$4,298,000"
6329,"683 W 18th Avenue

Cambie
Vancouver",5 bd|4 ba|2430 sf|33 x 122 ft,"$1,999,000"
6330,"2755 W 38th Avenue

Kerrisdale
Vancouver",6 bd|2 ba|2816 sf|44 x 132 ft,"$28,880,000"
6331,"1238 Balfour Avenue

Shaughnessy
Vancouver",5 bd|8 ba|7377 sf,"$6,180,000"
6332,"4650 Nanaimo Street

Collingwood
Vancouver",5 bd|3 ba|2516 sf|33 x 111 ft,"$1,525,000"
6333,"767 W 53rd Avenue

South Cambie
Vancouver",4 bd|3 ba|2186 sf|57 x 120 ft,"$2,788,000"
6334,"27 W 22nd Avenue

Cambie
Vancouver",5 bd|7 ba|3387 sf|33 x 122 ft,"$3,498,000"
6335,"2495 E 2nd Avenue

Renfrew
Vancouver",4 bd|1 ba|1740 sf|49 x 122 ft,"$1,750,000"
6336,"2974 W 42nd Avenue

Kerrisdale
Vancouver",7 bd|3 ba|2100 sf,"$2,390,000"
6337,"2077 W 61st Avenue

Southwest Marine
Vancouver",4 bd|7 ba|5062 sf|50 x 157 ft,"$8,880,000"
6338,"1388 W 57th Avenue

South Granville
Vancouver",8 bd|7 ba|5463 sf|66 x 135 ft,"$6,988,000"
6339,"2854 W 38th Avenue

Kerrisdale
Vancouver",3 bd|2 ba|2337 sf|44 x 132 ft,"$2,980,000"
6340,"7728 Heather Street

Marpole
Vancouver",6 bd|5 ba|3171 sf|40 x 132 ft,"$2,899,000"
6341,"3469 William Street

Renfrew
Vancouver",6 bd|4 ba|2029 sf|33 x 107 ft,"$1,388,000"
6342,"6138 Butler Street

Killarney
Vancouver",7 bd|5 ba|3151 sf|40 x 129 ft,"$2,298,800"
6343,"5635 Lanark Street

Knight
Vancouver",6 bd|4 ba|2472 sf|33 x 124 ft,"$1,699,900"
6344,"6162 Adera Street

South Granville
Vancouver",7 bd|8 ba|7035 sf|76 x 193 ft,"$13,888,000"
6345,"2335 W 21st Avenue

Arbutus
Vancouver",8 bd|8 ba|4199 sf|50 x 122 ft,"$4,280,000"
6346,"1727 E 22nd Avenue

Victoria East
Vancouver",5 bd|3 ba|3306 sf|53 x 108 ft,"$2,288,000"
6347,"7708 Heather Street

Marpole
Vancouver",5 bd|3 ba|3018 sf|42 x 132 ft,"$2,590,000"
6348,"6203 Kirkland Street

Killarney
Vancouver",8 bd|5 ba|4044 sf|56 x 107 ft,"$2,188,000"
6349,"3021 E 26th Avenue

Renfrew Heights
Vancouver",3 bd|1 ba|1550 sf|33 x 111 ft,"$1,288,000"
6350,"3270 Grant Street

Renfrew
Vancouver",11 bd|7 ba|2734 sf|100 x 0 ft,"$2,388,000"
6351,"3877 W 34th Avenue

Dunbar
Vancouver",5 bd|6 ba|4164 sf|50 x 130 ft,"$5,800,000"
6352,"6137 Collingwood Place

Southlands
Vancouver",4 bd|3 ba|2846 sf|70 x 144 ft,"$3,199,000"
6353,"3643 Prince Albert Street

Fraser East
Vancouver",4 bd|2 ba|1916 sf|30 x 103 ft,"$1,399,000"
6354,"4569 Commercial Street

Victoria East
Vancouver",6 bd|4 ba|1978 sf|31 x 105 ft,"$1,598,000"
6355,"5930 Culloden Street

Knight
Vancouver",6 bd|4 ba|2552 sf|42 x 118 ft,"$1,299,000"
6356,"895 E 58th Avenue

South Vancouver
Vancouver",7 bd|4 ba|2703 sf|116 x 33 ft,"$1,799,000"
6357,"6361 Larch Street

Kerrisdale
Vancouver",4 bd|3 ba|1979 sf|47 x 135 ft,"$2,999,000"
6358,"2024 Adanac Street

Hastings
Vancouver",3 bd|3 ba|2688 sf|33 x 124 ft,"$1,749,000"
6359,"6350 Alma Street

Southlands
Vancouver",3 bd|4 ba|2734 sf|50 x 136 ft,"$3,198,000"
6360,"1417 E 21st Avenue

Knight
Vancouver",3 bd|3 ba|2511 sf|33 x 124 ft,"$1,488,000"
6361,"4859 Prince Edward Street

Main
Vancouver",3 bd|3 ba|2291 sf|36 x 183 ft,"$2,389,000"
